Figure 10. Approximated synthetic X-ray spectra with opacity effects at a viewing angle of 0° through atmosphere 2 from charge exchange collisions. Initial ion energies are 500 keV/u for both oxygen and sulfur precipitation and the input is 1 ion/cm^2/s for both species.  Photon energies below about 400 eV are shown to be much more affected by the opacity than higher photon energies.

 Total Production Rate:
                5.455E+02  9.262E+01  6.936E+01  2.327E+01  4.529E+02  1.012E+02  8.256E+01  4.868E+01  5.237E+01  5.646E+01  1.093E+02  2.328E+00

 Phot Eng [eV]      Total    O_Total         O6         O7    S_Total         S8         S9        S10        S11        S12        S13        S14
    100.00      4.754E-08  9.109E-09  0.000E+00  9.109E-09  3.843E-08  7.686E-09  4.432E-14  9.867E-13  6.389E-18  0.000E+00  3.071E-08  3.841E-11
    101.00      6.176E-08  1.183E-08  0.000E+00  1.183E-08  4.992E-08  1.043E-08  6.416E-14  1.291E-12  9.581E-18  0.000E+00  3.944E-08  5.153E-11
    102.00      8.005E-08  1.533E-08  0.000E+00  1.533E-08  6.472E-08  1.412E-08  9.266E-14  1.685E-12  1.434E-17  0.000E+00  5.053E-08  6.897E-11
    103.00      1.036E-07  1.982E-08  0.000E+00  1.982E-08  8.374E-08  1.907E-08  1.335E-13  2.194E-12  2.140E-17  0.000E+00  6.458E-08  9.208E-11
    104.00      1.337E-07  2.556E-08  0.000E+00  2.556E-08  1.081E-07  2.568E-08  1.918E-13  2.850E-12  3.188E-17  0.000E+00  8.234E-08  1.226E-10
    105.00      1.723E-07  3.287E-08  0.000E+00  3.287E-08  1.394E-07  3.451E-08  2.750E-13  3.694E-12  4.739E-17  0.000E+00  1.047E-07  1.629E-10
    106.00      2.215E-07  4.218E-08  0.000E+00  4.218E-08  1.794E-07  4.626E-08  3.933E-13  4.777E-12  7.027E-17  0.000E+00  1.329E-07  2.159E-10
    107.00      2.843E-07  5.398E-08  0.000E+00  5.398E-08  2.303E-07  6.185E-08  5.611E-13  6.164E-12  1.040E-16  0.000E+00  1.682E-07  2.853E-10
    108.00      3.642E-07  6.892E-08  0.000E+00  6.892E-08  2.952E-07  8.250E-08  7.986E-13  7.936E-12  1.535E-16  0.000E+00  2.124E-07  3.762E-10
    109.00      4.655E-07  8.777E-08  0.000E+00  8.777E-08  3.778E-07  1.098E-07  1.134E-12  1.020E-11  2.260E-16  0.000E+00  2.675E-07  4.948E-10
