Figure 10. Approximated synthetic X-ray spectra with opacity effects at a viewing angle of 0° through atmosphere 2 from direct excitation collisions. Initial ion energies are 500 keV/u for both oxygen and sulfur precipitation and the input is 1 ion/cm^2/s for both species.  Photon energies below about 400 eV are shown to be much more affected by the opacity than higher photon energies.

 Total Production Rate:
                4.179E+02  7.644E+01  6.321E+01  1.323E+01  3.414E+02  6.968E+01  4.794E+01  3.451E+01  2.972E+01  4.032E+01  1.193E+02  3.013E-03

 Phot Eng [eV]      Total    O_Total         O6         O7    S_Total         S8         S9        S10        S11        S12        S13        S14
    100.00      6.111E-09  0.000E+00  0.000E+00  0.000E+00  6.111E-09  6.111E-09  1.009E-16  1.757E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    101.00      8.272E-09  0.000E+00  0.000E+00  0.000E+00  8.272E-09  8.272E-09  1.537E-16  2.910E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    102.00      1.117E-08  0.000E+00  0.000E+00  0.000E+00  1.117E-08  1.117E-08  2.336E-16  4.583E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    103.00      1.505E-08  0.000E+00  0.000E+00  0.000E+00  1.505E-08  1.505E-08  3.540E-16  7.200E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    104.00      2.022E-08  0.000E+00  0.000E+00  0.000E+00  2.022E-08  2.022E-08  5.351E-16  1.128E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    105.00      2.710E-08  0.000E+00  0.000E+00  0.000E+00  2.710E-08  2.710E-08  8.070E-16  1.764E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    106.00      3.624E-08  0.000E+00  0.000E+00  0.000E+00  3.624E-08  3.624E-08  1.214E-15  2.750E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    107.00      4.833E-08  0.000E+00  0.000E+00  0.000E+00  4.833E-08  4.833E-08  1.822E-15  4.278E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    108.00      6.431E-08  0.000E+00  0.000E+00  0.000E+00  6.431E-08  6.431E-08  2.727E-15  6.637E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    109.00      8.535E-08  0.000E+00  0.000E+00  0.000E+00  8.535E-08  8.535E-08  4.071E-15  1.027E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    110.00      1.130E-07  0.000E+00  0.000E+00  0.000E+00  1.130E-07  1.130E-07  6.064E-15  1.586E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    111.00      1.492E-07  0.000E+00  0.000E+00  0.000E+00  1.492E-07  1.492E-07  9.010E-15  2.444E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    112.00      1.966E-07  0.000E+00  0.000E+00  0.000E+00  1.966E-07  1.966E-07  1.335E-14  3.756E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    113.00      2.584E-07  0.000E+00  0.000E+00  0.000E+00  2.584E-07  2.584E-07  1.974E-14  5.756E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    114.00      3.388E-07  0.000E+00  0.000E+00  0.000E+00  3.388E-07  3.388E-07  2.912E-14  8.799E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    115.00      4.431E-07  0.000E+00  0.000E+00  0.000E+00  4.431E-07  4.431E-07  4.284E-14  1.342E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    116.00      5.780E-07  0.000E+00  0.000E+00  0.000E+00  5.780E-07  5.780E-07  6.287E-14  2.041E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    117.00      7.523E-07  0.000E+00  0.000E+00  0.000E+00  7.523E-07  7.523E-07  9.205E-14  3.098E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    118.00      9.766E-07  0.000E+00  0.000E+00  0.000E+00  9.766E-07  9.766E-07  1.344E-13  4.689E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    119.00      1.265E-06  0.000E+00  0.000E+00  0.000E+00  1.265E-06  1.265E-06  1.958E-13  7.081E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    120.00      1.634E-06  0.000E+00  0.000E+00  0.000E+00  1.634E-06  1.634E-06  2.846E-13  1.067E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    121.00      2.105E-06  0.000E+00  0.000E+00  0.000E+00  2.105E-06  2.105E-06  4.125E-13  1.602E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    122.00      2.706E-06  0.000E+00  0.000E+00  0.000E+00  2.706E-06  2.706E-06  5.965E-13  2.402E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    123.00      3.471E-06  0.000E+00  0.000E+00  0.000E+00  3.471E-06  3.471E-06  8.604E-13  3.591E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    124.00      4.440E-06  0.000E+00  0.000E+00  0.000E+00  4.440E-06  4.440E-06  1.238E-12  5.355E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    125.00      5.665E-06  0.000E+00  0.000E+00  0.000E+00  5.665E-06  5.665E-06  1.777E-12  7.968E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    126.00      7.212E-06  0.000E+00  0.000E+00  0.000E+00  7.212E-06  7.212E-06  2.545E-12  1.182E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    127.00      9.158E-06  0.000E+00  0.000E+00  0.000E+00  9.158E-06  9.158E-06  3.635E-12  1.750E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    128.00      1.160E-05  0.000E+00  0.000E+00  0.000E+00  1.160E-05  1.160E-05  5.179E-12  2.585E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    129.00      1.466E-05  0.000E+00  0.000E+00  0.000E+00  1.466E-05  1.466E-05  7.361E-12  3.808E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    130.00      1.848E-05  0.000E+00  0.000E+00  0.000E+00  1.848E-05  1.848E-05  1.044E-11  5.596E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    131.00      2.324E-05  0.000E+00  0.000E+00  0.000E+00  2.324E-05  2.324E-05  1.476E-11  8.202E-14  1.031E-20  0.000E+00  0.000E+00  0.000E+00
    132.00      2.915E-05  0.000E+00  0.000E+00  0.000E+00  2.915E-05  2.915E-05  2.083E-11  1.199E-13  1.649E-20  0.000E+00  0.000E+00  0.000E+00
