Figure 11. Oxygen ion production rate from X-ray producing charge exchange collisions combined with X-ray producing direct excitation collisions of each ion charge state vs. altitude from Juno’s PJ 7 pass.  Also included is the altitude integrated production rate of each charge state displayed.  It is evident from the charge states obtained that X-rays will be produced.

 Altitude integrated photon production [photons cm^-2 s^-1] as a function of charge state.
 ΔAlt [km]  ONeg       O          O+         O2+        O3+        O4+        O5+        O6+        O7+        O8+
     2.00   0.00E+00   1.49E+09   9.84E+08   3.11E+08   1.08E+08   4.45E+07   5.51E+07   3.44E+06   8.01E+05   0.00E+00

 Photon production [photons cm^-3 s^-1] as a function of altitude and charge state.
 Alt [km]   ONeg       O          O+         O2+        O3+        O4+        O5+        O6+        O7+        O8+
  2998.00   0.00E+00   5.58E-05   6.64E-05   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2996.00   0.00E+00   8.00E-05   4.71E-05   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2994.00   0.00E+00   7.93E-05   1.18E-04   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2992.00   0.00E+00   6.13E-05   5.95E-05   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2990.00   0.00E+00   5.92E-05   6.37E-05   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2988.00   0.00E+00   4.90E-05   1.29E-04   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2986.00   0.00E+00   5.33E-05   5.19E-05   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2984.00   0.00E+00   1.12E-04   1.20E-04   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2982.00   0.00E+00   9.33E-05   1.33E-04   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2980.00   0.00E+00   1.16E-04   5.11E-05   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2978.00   0.00E+00   4.04E-05   8.45E-05   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2976.00   0.00E+00   1.52E-04   1.48E-04   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2974.00   0.00E+00   1.17E-04   1.32E-04   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2972.00   0.00E+00   6.34E-05   1.40E-04   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2970.00   0.00E+00   9.70E-05   1.33E-04   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2968.00   0.00E+00   1.01E-04   6.09E-05   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2966.00   0.00E+00   1.05E-04   1.36E-04   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2964.00   0.00E+00   8.65E-05   5.59E-05   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
  2962.00   0.00E+00   7.61E-05   1.30E-04   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
