Figure 12. Predicted X-ray spectrum from JEDI’s ion flux measurements during the PJ 7 polar cap pass in 2017. This spectrum assumes an opacity effect with an exit angle of 80° through atmosphere 1 and only includes that from charge exchange collisions. It appears emission from oxygen is the most prominent source of X-rays associated with this flux measurement, which may have been anticipated from the JEDI data taken at this time, but is likely not always the case.

 Total Production Rate:
                2.260E+06  2.160E+06  1.671E+06  4.892E+05  9.988E+04  8.330E+04  1.456E+04  1.700E+03  2.520E+02  6.212E+01  7.263E+00  0.000E+00

 Phot Eng [eV]      Total    O_Total         O6         O7    S_Total         S8         S9        S10        S11        S12        S13        S14
    100.00      1.743E-04  1.679E-04  0.000E+00  1.679E-04  6.373E-06  6.371E-06  7.832E-12  3.508E-11  3.077E-17  0.000E+00  2.065E-09  0.000E+00
    101.00      2.268E-04  2.182E-04  0.000E+00  2.182E-04  8.648E-06  8.646E-06  1.134E-11  4.588E-11  4.615E-17  0.000E+00  2.653E-09  0.000E+00
    102.00      2.944E-04  2.827E-04  0.000E+00  2.827E-04  1.171E-05  1.170E-05  1.637E-11  5.988E-11  6.905E-17  0.000E+00  3.399E-09  0.000E+00
    103.00      3.812E-04  3.654E-04  0.000E+00  3.654E-04  1.581E-05  1.580E-05  2.358E-11  7.797E-11  1.031E-16  0.000E+00  4.344E-09  0.000E+00
    104.00      4.925E-04  4.712E-04  0.000E+00  4.712E-04  2.129E-05  2.129E-05  3.389E-11  1.013E-10  1.536E-16  0.000E+00  5.538E-09  0.000E+00
    105.00      6.347E-04  6.061E-04  0.000E+00  6.061E-04  2.861E-05  2.861E-05  4.859E-11  1.313E-10  2.282E-16  0.000E+00  7.043E-09  0.000E+00
    106.00      8.160E-04  7.777E-04  0.000E+00  7.777E-04  3.835E-05  3.834E-05  6.948E-11  1.698E-10  3.384E-16  0.000E+00  8.937E-09  0.000E+00
    107.00      1.047E-03  9.953E-04  0.000E+00  9.953E-04  5.128E-05  5.127E-05  9.913E-11  2.191E-10  5.007E-16  0.000E+00  1.131E-08  0.000E+00
    108.00      1.339E-03  1.271E-03  0.000E+00  1.271E-03  6.839E-05  6.838E-05  1.411E-10  2.820E-10  7.391E-16  0.000E+00  1.428E-08  0.000E+00
    109.00      1.709E-03  1.618E-03  0.000E+00  1.618E-03  9.100E-05  9.098E-05  2.003E-10  3.623E-10  1.088E-15  0.000E+00  1.799E-08  0.000E+00
