Figure 12. Predicted X-ray spectrum from JEDI’s ion flux measurements during the PJ 7 polar cap pass in 2017. This spectrum assumes an opacity effect with an exit angle of 80° through atmosphere 1 and only includes that from direct excitation collisions. It appears emission from oxygen is the most prominent source of X-rays associated with this flux measurement, which may have been anticipated from the JEDI data taken at this time, but is likely not always the case.

 Total Production Rate:
                1.888E+06  1.840E+06  1.565E+06  2.752E+05  4.754E+04  4.149E+04  5.273E+03  6.510E+02  1.029E+02  1.394E+01  9.258E+00  0.000E+00

 Phot Eng [eV]      Total    O_Total         O6         O7    S_Total         S8         S9        S10        S11        S12        S13        S14
    100.00      3.668E-06  0.000E+00  0.000E+00  0.000E+00  3.668E-06  3.668E-06  1.109E-14  3.438E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    101.00      4.965E-06  0.000E+00  0.000E+00  0.000E+00  4.965E-06  4.965E-06  1.689E-14  5.428E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    102.00      6.704E-06  0.000E+00  0.000E+00  0.000E+00  6.704E-06  6.704E-06  2.566E-14  8.549E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    103.00      9.030E-06  0.000E+00  0.000E+00  0.000E+00  9.030E-06  9.030E-06  3.888E-14  1.343E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    104.00      1.213E-05  0.000E+00  0.000E+00  0.000E+00  1.213E-05  1.213E-05  5.878E-14  2.105E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    105.00      1.626E-05  0.000E+00  0.000E+00  0.000E+00  1.626E-05  1.626E-05  8.864E-14  3.291E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    106.00      2.175E-05  0.000E+00  0.000E+00  0.000E+00  2.175E-05  2.175E-05  1.333E-13  5.134E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    107.00      2.901E-05  0.000E+00  0.000E+00  0.000E+00  2.901E-05  2.901E-05  2.001E-13  7.986E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    108.00      3.859E-05  0.000E+00  0.000E+00  0.000E+00  3.859E-05  3.859E-05  2.995E-13  1.239E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    109.00      5.122E-05  0.000E+00  0.000E+00  0.000E+00  5.122E-05  5.122E-05  4.472E-13  1.918E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    110.00      6.782E-05  0.000E+00  0.000E+00  0.000E+00  6.782E-05  6.782E-05  6.661E-13  2.962E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    111.00      8.956E-05  0.000E+00  0.000E+00  0.000E+00  8.956E-05  8.956E-05  9.897E-13  4.562E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    112.00      1.180E-04  0.000E+00  0.000E+00  0.000E+00  1.180E-04  1.180E-04  1.467E-12  7.009E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    113.00      1.551E-04  0.000E+00  0.000E+00  0.000E+00  1.551E-04  1.551E-04  2.169E-12  1.074E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    114.00      2.033E-04  0.000E+00  0.000E+00  0.000E+00  2.033E-04  2.033E-04  3.198E-12  1.642E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    115.00      2.659E-04  0.000E+00  0.000E+00  0.000E+00  2.659E-04  2.659E-04  4.706E-12  2.504E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    116.00      3.469E-04  0.000E+00  0.000E+00  0.000E+00  3.469E-04  3.469E-04  6.906E-12  3.810E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    117.00      4.514E-04  0.000E+00  0.000E+00  0.000E+00  4.514E-04  4.514E-04  1.011E-11  5.781E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    118.00      5.860E-04  0.000E+00  0.000E+00  0.000E+00  5.860E-04  5.860E-04  1.476E-11  8.752E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    119.00      7.589E-04  0.000E+00  0.000E+00  0.000E+00  7.589E-04  7.589E-04  2.151E-11  1.322E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    120.00      9.803E-04  0.000E+00  0.000E+00  0.000E+00  9.803E-04  9.803E-04  3.125E-11  1.991E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    121.00      1.263E-03  0.000E+00  0.000E+00  0.000E+00  1.263E-03  1.263E-03  4.531E-11  2.991E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
