Figure 13. An XMM-Newton EPIC-pn observation of Jupiter’s Northern X-ray Auroral spectrum from 19:29-21:30 on July 10th, 2017 binned to ensure at least 5 counts per energy channel. Also included are simulated photon fluxes (CX+DE Model) from Figure 12 where the sulfur input flux has been boosted 100x and the resulting X-ray flux is convolved with the XMM-Newton EPIC-pn instrument response to produce a simulated X-ray spectrum. This assumes an X-ray auroral region of 5° x 7.5° System III latitude-longitude.

Photon Eng   Energy Error    XMM Counts    Counts Error   CX+DE Model
0.208703503  5.31549752E-3  6.98962212E-2  3.12585384E-2  2.98429001E-2
0.227283508  1.32644996E-2  3.36115062E-2  1.37218405E-2  2.68331300E-2
0.253775507  1.32275000E-2  2.80879363E-2  1.25613073E-2  2.27349624E-2
0.288084000  2.10810006E-2  1.76240783E-2  7.88172707E-3  1.77371502E-2
0.337969005  2.88040042E-2  1.28986649E-2  5.76845789E-3  1.28125371E-2
0.384986013  1.82130039E-2  2.44792029E-2  9.99359321E-3  1.12451520E-2
0.416150510  1.29514933E-2  3.44238169E-2  1.40534639E-2  1.21428007E-2
0.439428508  1.03265047E-2  3.59786004E-2  1.60901193E-2  1.42633850E-2
0.462619007  1.28639936E-2  2.88816355E-2  1.29162604E-2  1.90256443E-2
0.483177990  7.69498944E-3  4.82824817E-2  2.15925816E-2  2.68978383E-2
0.506210446  1.53374970E-2  3.39133851E-2  1.28180552E-2  4.18657698E-2
0.531734943  1.01870000E-2  5.83540872E-2  2.06312854E-2  6.09053709E-2
0.549541950  7.62000680E-3  6.82606325E-2  2.58000921E-2  6.96999729E-2
0.562232971  5.07101417E-3  7.32660517E-2  3.27655748E-2  7.09308609E-2
0.572367013  5.06299734E-3  7.33820647E-2  3.28174569E-2  6.85397759E-2
0.585011482  7.58150220E-3  4.90052216E-2  2.19158009E-2  6.24828376E-2
0.605192542  1.25994980E-2  4.71806973E-2  1.66808944E-2  5.10818735E-2
0.625331044  7.53900409E-3  5.91377616E-2  2.41428893E-2  4.28513736E-2
0.642898023  1.00280046E-2  4.44594733E-2  1.81505047E-2  3.96682061E-2
0.662927508  1.00014806E-2  4.45773825E-2  1.81986392E-2  3.68740298E-2
0.695340991  2.24120021E-2  1.98929049E-2  8.12124461E-3  2.74496395E-2
0.730152488  1.23994946E-2  2.99635753E-2  1.34001179E-2  1.60659123E-2
0.786922991  4.43710089E-2  8.37333221E-3  3.74466786E-3  8.05148017E-3
0.931262016  9.99679863E-2  3.71652166E-3  1.66207901E-3  8.45834438E-4
1.491410020  4.60179985E-1  8.07364937E-4  3.61064565E-4  1.37881102E-8

