Figure 3. Sulfur charge state distribution as a function of ion energy.  The high charge state peaks have dramatically shifted to lower energies than previous models produced. Ozak et al. (2010) had the peaks of S^{6+} and S^{14+} at ∼500 keV/u and ∼2.2 MeV/u, respectively.  Due to the use of newly developed SIM cross-sections, the peaks have now shifted down to energies of ∼275keV/u and ∼900 keV/u, respectively.

 Energy [keV/u]        S        S+       S2+       S3+       S4+       S5+       S6+       S7+       S8+       S9+      S10+      S11+      S12+      S13+      S14+      S15+      S16+
     1.50       6.35E-01  2.47E-01  1.16E-01  2.36E-03  3.71E-05  4.14E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     2.50       5.51E-01  3.02E-01  1.40E-01  6.00E-03  1.23E-04  1.45E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     3.50       5.18E-01  3.22E-01  1.50E-01  9.81E-03  2.08E-04  4.32E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     4.50       4.94E-01  3.35E-01  1.57E-01  1.37E-02  3.11E-04  7.21E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     5.50       4.74E-01  3.44E-01  1.63E-01  1.78E-02  4.81E-04  1.51E-05  2.84E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     6.50       4.57E-01  3.52E-01  1.69E-01  2.16E-02  6.42E-04  2.16E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     7.50       4.41E-01  3.59E-01  1.74E-01  2.53E-02  7.95E-04  2.95E-05  2.19E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     8.50       4.27E-01  3.65E-01  1.79E-01  2.88E-02  1.01E-03  4.04E-05  6.38E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     9.50       4.13E-01  3.70E-01  1.83E-01  3.22E-02  1.23E-03  5.53E-05  5.75E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    10.50       4.03E-01  3.75E-01  1.86E-01  3.45E-02  1.43E-03  6.66E-05  1.41E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    11.50       3.94E-01  3.80E-01  1.88E-01  3.61E-02  1.67E-03  8.07E-05  6.46E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    12.50       3.85E-01  3.85E-01  1.90E-01  3.79E-02  1.90E-03  9.90E-05  1.78E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    13.50       3.79E-01  3.89E-01  1.91E-01  3.92E-02  2.11E-03  1.09E-04  1.89E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    14.50       3.73E-01  3.92E-01  1.92E-01  4.05E-02  2.37E-03  1.27E-04  1.93E-06  7.75E-08  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
