Figure 4. Oxygen flux measurements from JEDI on the Juno spacecraft during Perijove 7. The points marked with a diamond are the actual JEDI measurements. The lines represents the interpolation of the data that we applied to the measurements. Note the power law distribution seen in both species; however, oxygen appears to have an extended high energy tail when compared with sulfur.

   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    170.660           11            249.8533              69.84        109643.959
    240.265           15            339.6671              76.47        163201.595
    323.600           20            278.9519             118.13        207047.192
    476.525           30            219.7899             211.43        291977.291
    746.455           47             89.5017             239.89        134906.337
    956.315           60             43.6147             246.95         67673.975
   1240.355           78             22.5555             487.02         69020.601
   1930.355          121              8.6870            1124.82         61395.096
   3490.000          218              3.0181            2684.82         50913.214
   7300.000          456              0.9136            4605.00         26434.503

 Interpolated Oxygen Values
   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    135.620            8            204.0024               8.26         10584.026
    152.135           10            225.6121              17.52         24835.702
    170.660           11            249.8533              16.88         26501.118
    185.897           12            269.7908              15.92         26981.224
    202.494           13            291.3193              17.34         31735.361
    220.572           14            314.5657              18.89         37327.185
    240.265           15            339.6671              19.13         40828.139
    258.833           16            323.3497              19.29         39182.126
    278.836           17            307.8161              20.78         40182.454
    300.386           19            293.0288              22.38         41208.320
    323.600           20            278.9519              28.04         49153.266
    356.474           22            262.8142              34.54         57042.477
    392.688           25            247.6102              38.05         59202.124
    432.580           27            233.2857              41.92         61443.535
    476.525           30            219.7899              50.26         69413.620
    533.108           33            175.5754              59.94         66126.733
    596.410           37            140.2554              67.06         59096.593
    667.228           42            112.0406              75.02         52813.848
    746.455           47             89.5017              63.46         35687.928
    794.151           50             74.7793              49.22         23125.938
    844.894           53             62.4787              52.36         20556.495
    898.880           56             52.2014              55.71         18272.534
    956.315           60             43.6147              60.84         16672.144
   1020.557           64             36.9860              66.40         15430.623
   1089.114           68             31.3648              70.86         13964.473
   1162.277           73             26.5979              75.62         12637.630
   1240.355           78             22.5555             111.55         15809.063
   1385.380           87             17.7687             153.50         17137.717
   1547.361           97             13.9978             171.45         15079.266
   1728.281          108             11.0272             191.50         13268.060
   1930.355          121              8.6870             255.05         13921.176
   2238.382          140              6.6694             332.60         13937.742
   2595.561          162              5.1204             385.68         12408.114
   3009.736          188              3.9311             447.22         11046.359
   3490.000          218              3.0181             593.68         11258.242
   4197.105          262              2.2387             778.74         10953.743
   5047.475          315              1.6605             936.52          9771.102
   6070.137          379              1.2317            1126.26          8716.148
   7300.000          456              0.9136            1236.93          7100.482
   8544.004          534              0.7081            1350.00          6006.429
  10000.000          625              0.5488             728.00          2510.464
 Total number of oxygen ions:   1118929.7228216925     
