Figure 4. Sulfur flux measurements from JEDI on the Juno spacecraft during Perijove 7. The points marked with a diamond are the actual JEDI measurements. The lines represents the interpolation of the data that we applied to the measurements. Note the power law distribution seen in both species; however, oxygen appears to have an extended high energy tail when compared with sulfur.

   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    170.660            5            124.9266              69.84         54821.979
    240.265            8            169.8335              76.47         81600.798
    323.600           10            139.4759             118.13        103523.596
    476.525           15            135.5297             211.43        180042.826
    746.455           23            103.8797             239.89        156578.364
    956.315           30             69.3603             246.95        107621.657
   1240.355           39             42.1943             487.02        129116.238
   1930.355           60             16.1755            1124.82        114319.761
   3490.000          109              2.5864            2684.82         43630.325
   7300.000          228              0.3188            4605.00          9223.516
 Interpolated Sulfur Values
   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    135.620            4            102.0012               8.26          5292.013
    152.135            5            112.8061              17.52         12417.851
    170.660            5            124.9266              16.88         13250.559
    185.897            6            134.8954              15.92         13490.612
    202.494            6            145.6596              17.34         15867.680
    220.572            7            157.2828              18.89         18663.592
    240.265            8            169.8335              19.13         20414.069
    258.833            8            161.6748              19.29         19591.063
    278.836            9            153.9081              20.78         20091.227
    300.386            9            146.5144              22.38         20604.160
    323.600           10            139.4759              28.04         24576.633
    356.474           11            138.4787              34.54         30056.096
    392.688           12            137.4887              38.05         32872.721
    432.580           14            136.5057              41.92         35953.300
    476.525           15            135.5297              50.26         42802.727
    533.108           17            126.8115              59.94         47760.842
    596.410           19            118.6541              67.06         49994.878
    667.228           21            111.0214              75.02         52333.412
    746.455           23            103.8797              63.46         41421.016
    794.151           25             93.9022              49.22         29039.786
    844.894           26             84.8830              52.36         27927.867
    898.880           28             76.7301              55.71         26858.523
    956.315           30             69.3603              60.84         26513.644
   1020.557           32             61.2557              66.40         25555.977
   1089.114           34             54.0982              70.86         24085.996
   1162.277           36             47.7769              75.62         22700.568
   1240.355           39             42.1943             111.55         29573.876
   1385.380           43             33.2013             153.50         32022.223
   1547.361           48             26.1250             171.45         28143.304
   1728.281           54             20.5569             191.50         24734.247
   1930.355           60             16.1755             255.05         25921.705
   2238.382           70             10.2286             332.60         21375.812
   2595.561           81              6.4681             385.68         15673.954
   3009.736           94              4.0901             447.22         11493.030
   3490.000          109              2.5864             593.68          9647.805
   4197.105          131              1.5325             778.74          7498.292
   5047.475          158              0.9080             936.52          5343.000
   6070.137          190              0.5380            1126.26          3807.221
   7300.000          228              0.3188            1236.93          2477.497
   8544.004          267              0.2040            1350.00          1730.349
  10000.000          313              0.1305             728.00           597.122
 Total number of sulfur ions:   920176.24795043957     
