Figure 9. Approximated synthetic X-ray spectra showing the contribution from each charge state.  This spectrum includes emission from charge exchange collisions considering no opacity effects from an incident ion beam of 500 keV/u with an input is 1 ion/cm^2/s for both species.

Total Production Rate:
                5.749E+02  9.332E+01  6.994E+01  2.338E+01  4.816E+02  1.160E+02  8.886E+01  5.158E+01  5.401E+01  5.773E+01  1.111E+02  2.340E+00

 Phot Eng [eV]      Total    O_Total         O6         O7    S_Total         S8         S9        S10        S11        S12        S13        S14
    100.00      5.151E-08  9.746E-09  0.000E+00  9.746E-09  4.176E-08  8.960E-09  4.840E-14  1.108E-12  6.694E-18  0.000E+00  3.276E-08  3.992E-11
    101.00      6.695E-08  1.266E-08  0.000E+00  1.266E-08  5.429E-08  1.216E-08  7.006E-14  1.449E-12  1.004E-17  0.000E+00  4.208E-08  5.357E-11
    102.00      8.685E-08  1.641E-08  0.000E+00  1.641E-08  7.044E-08  1.646E-08  1.012E-13  1.892E-12  1.502E-17  0.000E+00  5.391E-08  7.169E-11
    103.00      1.124E-07  2.121E-08  0.000E+00  2.121E-08  9.122E-08  2.223E-08  1.457E-13  2.463E-12  2.242E-17  0.000E+00  6.890E-08  9.571E-11
    104.00      1.453E-07  2.735E-08  0.000E+00  2.735E-08  1.179E-07  2.994E-08  2.094E-13  3.199E-12  3.340E-17  0.000E+00  8.784E-08  1.275E-10
    105.00      1.873E-07  3.517E-08  0.000E+00  3.517E-08  1.521E-07  4.023E-08  3.003E-13  4.146E-12  4.964E-17  0.000E+00  1.117E-07  1.693E-10
    106.00      2.410E-07  4.513E-08  0.000E+00  4.513E-08  1.959E-07  5.392E-08  4.294E-13  5.361E-12  7.360E-17  0.000E+00  1.417E-07  2.244E-10
    107.00      3.096E-07  5.776E-08  0.000E+00  5.776E-08  2.518E-07  7.210E-08  6.126E-13  6.917E-12  1.089E-16  0.000E+00  1.794E-07  2.966E-10
    108.00      3.968E-07  7.374E-08  0.000E+00  7.374E-08  3.231E-07  9.616E-08  8.718E-13  8.905E-12  1.607E-16  0.000E+00  2.265E-07  3.910E-10
    109.00      5.077E-07  9.391E-08  0.000E+00  9.391E-08  4.138E-07  1.279E-07  1.238E-12  1.144E-11  2.367E-16  0.000E+00  2.853E-07  5.143E-10
    110.00      6.483E-07  1.193E-07  0.000E+00  1.193E-07  5.290E-07  1.698E-07  1.753E-12  1.466E-11  3.478E-16  0.000E+00  3.585E-07  6.748E-10
    111.00      8.263E-07  1.512E-07  0.000E+00  1.512E-07  6.751E-07  2.248E-07  2.477E-12  1.874E-11  5.099E-16  0.000E+00  4.494E-07  8.831E-10
    112.00      1.051E-06  1.911E-07  0.000E+00  1.911E-07  8.601E-07  2.969E-07  3.491E-12  2.392E-11  7.458E-16  0.000E+00  5.620E-07  1.153E-09
    113.00      1.335E-06  2.410E-07  0.000E+00  2.410E-07  1.094E-06  3.911E-07  4.909E-12  3.045E-11  1.088E-15  0.000E+00  7.011E-07  1.501E-09
    114.00      1.692E-06  3.031E-07  0.000E+00  3.031E-07  1.389E-06  5.140E-07  6.885E-12  3.869E-11  1.585E-15  0.000E+00  8.726E-07  1.950E-09
    115.00      2.140E-06  3.803E-07  0.000E+00  3.803E-07  1.760E-06  6.738E-07  9.635E-12  4.906E-11  2.302E-15  0.000E+00  1.083E-06  2.526E-09
    116.00      2.702E-06  4.760E-07  0.000E+00  4.760E-07  2.226E-06  8.811E-07  1.345E-11  6.207E-11  3.336E-15  0.000E+00  1.342E-06  3.265E-09
    117.00      3.406E-06  5.943E-07  0.000E+00  5.943E-07  2.812E-06  1.149E-06  1.873E-11  7.836E-11  4.823E-15  0.000E+00  1.658E-06  4.210E-09
    118.00      4.286E-06  7.401E-07  0.000E+00  7.401E-07  3.546E-06  1.496E-06  2.602E-11  9.873E-11  6.958E-15  0.000E+00  2.044E-06  5.414E-09
    119.00      5.382E-06  9.194E-07  0.000E+00  9.194E-07  4.463E-06  1.941E-06  3.606E-11  1.241E-10  1.001E-14  0.000E+00  2.514E-06  6.946E-09
    120.00      6.747E-06  1.139E-06  0.000E+00  1.139E-06  5.608E-06  2.514E-06  4.986E-11  1.558E-10  1.438E-14  0.000E+00  3.085E-06  8.888E-09
    121.00      8.444E-06  1.409E-06  0.000E+00  1.409E-06  7.035E-06  3.247E-06  6.877E-11  1.951E-10  2.060E-14  0.000E+00  3.777E-06  1.135E-08
    122.00      1.055E-05  1.737E-06  0.000E+00  1.737E-06  8.811E-06  4.183E-06  9.462E-11  2.439E-10  2.943E-14  0.000E+00  4.612E-06  1.445E-08
    123.00      1.315E-05  2.137E-06  0.000E+00  2.137E-06  1.102E-05  5.377E-06  1.299E-10  3.043E-10  4.197E-14  0.000E+00  5.620E-06  1.835E-08
    124.00      1.637E-05  2.622E-06  0.000E+00  2.622E-06  1.375E-05  6.894E-06  1.779E-10  3.789E-10  5.970E-14  0.000E+00  6.832E-06  2.325E-08
    125.00      2.034E-05  3.209E-06  0.000E+00  3.209E-06  1.713E-05  8.817E-06  2.430E-10  4.709E-10  8.472E-14  1.206E-20  8.286E-06  2.938E-08
    126.00      2.523E-05  3.918E-06  0.000E+00  3.918E-06  2.131E-05  1.125E-05  3.311E-10  5.843E-10  1.199E-13  1.843E-20  1.003E-05  3.704E-08
    127.00      3.124E-05  4.772E-06  0.000E+00  4.772E-06  2.647E-05  1.432E-05  4.502E-10  7.236E-10  1.694E-13  2.809E-20  1.211E-05  4.658E-08
    128.00      3.861E-05  5.797E-06  0.000E+00  5.797E-06  3.282E-05  1.818E-05  6.107E-10  8.945E-10  2.388E-13  4.271E-20  1.458E-05  5.842E-08
    129.00      4.764E-05  7.025E-06  0.000E+00  7.025E-06  4.062E-05  2.302E-05  8.263E-10  1.104E-09  3.356E-13  6.476E-20  1.752E-05  7.310E-08
    130.00      5.868E-05  8.493E-06  0.000E+00  8.493E-06  5.019E-05  2.908E-05  1.116E-09  1.360E-09  4.708E-13  9.796E-20  2.101E-05  9.125E-08
    131.00      7.215E-05  1.024E-05  0.000E+00  1.024E-05  6.190E-05  3.665E-05  1.502E-09  1.673E-09  6.587E-13  1.478E-19  2.514E-05  1.136E-07
    132.00      8.855E-05  1.232E-05  0.000E+00  1.232E-05  7.623E-05  4.607E-05  2.018E-09  2.055E-09  9.194E-13  2.225E-19  3.001E-05  1.411E-07
    133.00      1.085E-04  1.478E-05  0.000E+00  1.478E-05  9.370E-05  5.777E-05  2.705E-09  2.520E-09  1.280E-12  3.340E-19  3.575E-05  1.748E-07
    134.00      1.327E-04  1.770E-05  0.000E+00  1.770E-05  1.150E-04  7.226E-05  3.618E-09  3.085E-09  1.779E-12  5.120E-19  4.249E-05  2.160E-07
