Figure 9. Approximated synthetic X-ray spectra showing the contribution from each charge state.  This spectrum includes emission from direct excitation collisions considering no opacity effects from an incident ion beam of 500 keV/u with an input is 1 ion/cm^2/s for both species.

 Total Production Rate:
                4.375E+02  7.703E+01  6.376E+01  1.327E+01  3.605E+02  7.942E+01  5.117E+01  3.655E+01  3.085E+01  4.130E+01  1.212E+02  3.018E-03

 Phot Eng [eV]      Total    O_Total         O6         O7    S_Total         S8         S9        S10        S11        S12        S13        S14
    100.00      7.086E-09  0.000E+00  0.000E+00  0.000E+00  7.086E-09  7.086E-09  1.079E-16  1.841E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    101.00      9.591E-09  0.000E+00  0.000E+00  0.000E+00  9.591E-09  9.591E-09  1.643E-16  3.052E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    102.00      1.295E-08  0.000E+00  0.000E+00  0.000E+00  1.295E-08  1.295E-08  2.496E-16  4.806E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    103.00      1.745E-08  0.000E+00  0.000E+00  0.000E+00  1.745E-08  1.745E-08  3.783E-16  7.550E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    104.00      2.344E-08  0.000E+00  0.000E+00  0.000E+00  2.344E-08  2.344E-08  5.719E-16  1.183E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    105.00      3.142E-08  0.000E+00  0.000E+00  0.000E+00  3.142E-08  3.142E-08  8.624E-16  1.850E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    106.00      4.201E-08  0.000E+00  0.000E+00  0.000E+00  4.201E-08  4.201E-08  1.297E-15  2.884E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    107.00      5.603E-08  0.000E+00  0.000E+00  0.000E+00  5.603E-08  5.603E-08  1.947E-15  4.486E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    108.00      7.455E-08  0.000E+00  0.000E+00  0.000E+00  7.455E-08  7.455E-08  2.914E-15  6.961E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    109.00      9.894E-08  0.000E+00  0.000E+00  0.000E+00  9.894E-08  9.894E-08  4.351E-15  1.077E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    110.00      1.310E-07  0.000E+00  0.000E+00  0.000E+00  1.310E-07  1.310E-07  6.481E-15  1.664E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    111.00      1.730E-07  0.000E+00  0.000E+00  0.000E+00  1.730E-07  1.730E-07  9.629E-15  2.563E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    112.00      2.279E-07  0.000E+00  0.000E+00  0.000E+00  2.279E-07  2.279E-07  1.427E-14  3.940E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    113.00      2.996E-07  0.000E+00  0.000E+00  0.000E+00  2.996E-07  2.996E-07  2.110E-14  6.038E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    114.00      3.927E-07  0.000E+00  0.000E+00  0.000E+00  3.927E-07  3.927E-07  3.112E-14  9.232E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    115.00      5.136E-07  0.000E+00  0.000E+00  0.000E+00  5.136E-07  5.136E-07  4.578E-14  1.408E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    116.00      6.700E-07  0.000E+00  0.000E+00  0.000E+00  6.700E-07  6.700E-07  6.719E-14  2.142E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    117.00      8.719E-07  0.000E+00  0.000E+00  0.000E+00  8.719E-07  8.719E-07  9.836E-14  3.250E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    118.00      1.132E-06  0.000E+00  0.000E+00  0.000E+00  1.132E-06  1.132E-06  1.436E-13  4.920E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    119.00      1.466E-06  0.000E+00  0.000E+00  0.000E+00  1.466E-06  1.466E-06  2.093E-13  7.429E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    120.00      1.893E-06  0.000E+00  0.000E+00  0.000E+00  1.893E-06  1.893E-06  3.041E-13  1.119E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    121.00      2.440E-06  0.000E+00  0.000E+00  0.000E+00  2.440E-06  2.440E-06  4.408E-13  1.681E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    122.00      3.136E-06  0.000E+00  0.000E+00  0.000E+00  3.136E-06  3.136E-06  6.374E-13  2.520E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    123.00      4.022E-06  0.000E+00  0.000E+00  0.000E+00  4.022E-06  4.022E-06  9.194E-13  3.768E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    124.00      5.145E-06  0.000E+00  0.000E+00  0.000E+00  5.145E-06  5.145E-06  1.323E-12  5.620E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    125.00      6.565E-06  0.000E+00  0.000E+00  0.000E+00  6.565E-06  6.565E-06  1.899E-12  8.362E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    126.00      8.356E-06  0.000E+00  0.000E+00  0.000E+00  8.356E-06  8.356E-06  2.719E-12  1.241E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    127.00      1.061E-05  0.000E+00  0.000E+00  0.000E+00  1.061E-05  1.061E-05  3.884E-12  1.837E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    128.00      1.344E-05  0.000E+00  0.000E+00  0.000E+00  1.344E-05  1.344E-05  5.534E-12  2.713E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    129.00      1.698E-05  0.000E+00  0.000E+00  0.000E+00  1.698E-05  1.698E-05  7.865E-12  3.997E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    130.00      2.141E-05  0.000E+00  0.000E+00  0.000E+00  2.141E-05  2.141E-05  1.115E-11  5.874E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    131.00      2.692E-05  0.000E+00  0.000E+00  0.000E+00  2.692E-05  2.692E-05  1.577E-11  8.610E-14  1.074E-20  0.000E+00  0.000E+00  0.000E+00
    132.00      3.376E-05  0.000E+00  0.000E+00  0.000E+00  3.376E-05  3.376E-05  2.225E-11  1.259E-13  1.716E-20  0.000E+00  0.000E+00  0.000E+00
    133.00      4.225E-05  0.000E+00  0.000E+00  0.000E+00  4.225E-05  4.225E-05  3.132E-11  1.837E-13  2.736E-20  0.000E+00  0.000E+00  0.000E+00
    134.00      5.273E-05  0.000E+00  0.000E+00  0.000E+00  5.273E-05  5.273E-05  4.397E-11  2.672E-13  4.352E-20  0.000E+00  0.000E+00  0.000E+00
    135.00      6.566E-05  0.000E+00  0.000E+00  0.000E+00  6.566E-05  6.566E-05  6.159E-11  3.879E-13  6.904E-20  0.000E+00  0.000E+00  0.000E+00
    136.00      8.156E-05  0.000E+00  0.000E+00  0.000E+00  8.156E-05  8.156E-05  8.604E-11  5.616E-13  1.232E-19  0.000E+00  0.000E+00  0.000E+00
    137.00      1.011E-04  0.000E+00  0.000E+00  0.000E+00  1.011E-04  1.011E-04  1.199E-10  8.112E-13  1.947E-19  0.000E+00  0.000E+00  0.000E+00
    138.00      1.249E-04  0.000E+00  0.000E+00  0.000E+00  1.249E-04  1.249E-04  1.667E-10  1.169E-12  3.069E-19  0.000E+00  0.000E+00  0.000E+00
    139.00      1.540E-04  0.000E+00  0.000E+00  0.000E+00  1.540E-04  1.540E-04  2.312E-10  1.680E-12  4.827E-19  0.000E+00  0.000E+00  0.000E+00
    140.00      1.895E-04  0.000E+00  0.000E+00  0.000E+00  1.895E-04  1.895E-04  3.199E-10  2.408E-12  7.572E-19  0.000E+00  0.000E+00  0.000E+00
    141.00      2.325E-04  0.000E+00  0.000E+00  0.000E+00  2.325E-04  2.325E-04  4.414E-10  3.444E-12  1.196E-18  0.000E+00  0.000E+00  0.000E+00
    142.00      2.846E-04  0.000E+00  0.000E+00  0.000E+00  2.846E-04  2.846E-04  6.077E-10  4.914E-12  1.868E-18  0.000E+00  0.000E+00  0.000E+00
    143.00      3.475E-04  0.000E+00  0.000E+00  0.000E+00  3.475E-04  3.475E-04  8.346E-10  6.993E-12  2.909E-18  0.000E+00  0.000E+00  0.000E+00
    144.00      4.233E-04  0.000E+00  0.000E+00  0.000E+00  4.233E-04  4.233E-04  1.143E-09  9.928E-12  4.519E-18  0.000E+00  0.000E+00  0.000E+00
    145.00      5.143E-04  0.000E+00  0.000E+00  0.000E+00  5.143E-04  5.143E-04  1.563E-09  1.406E-11  7.004E-18  0.000E+00  0.000E+00  0.000E+00
    146.00      6.235E-04  0.000E+00  0.000E+00  0.000E+00  6.235E-04  6.235E-04  2.130E-09  1.986E-11  1.083E-17  0.000E+00  0.000E+00  0.000E+00
    147.00      7.539E-04  0.000E+00  0.000E+00  0.000E+00  7.539E-04  7.539E-04  2.897E-09  2.799E-11  1.670E-17  0.000E+00  0.000E+00  0.000E+00
    148.00      9.095E-04  0.000E+00  0.000E+00  0.000E+00  9.095E-04  9.095E-04  3.930E-09  3.934E-11  2.569E-17  0.000E+00  0.000E+00  0.000E+00
    149.00      1.094E-03  0.000E+00  0.000E+00  0.000E+00  1.094E-03  1.094E-03  5.319E-09  5.517E-11  3.942E-17  0.000E+00  0.000E+00  0.000E+00
    150.00      1.314E-03  0.000E+00  0.000E+00  0.000E+00  1.314E-03  1.314E-03  7.181E-09  7.717E-11  6.034E-17  0.000E+00  0.000E+00  0.000E+00
    151.00      1.573E-03  0.000E+00  0.000E+00  0.000E+00  1.573E-03  1.573E-03  9.671E-09  1.077E-10  9.213E-17  0.000E+00  0.000E+00  0.000E+00
    152.00      1.880E-03  0.000E+00  0.000E+00  0.000E+00  1.880E-03  1.880E-03  1.299E-08  1.499E-10  1.403E-16  0.000E+00  0.000E+00  0.000E+00
    153.00      2.240E-03  0.000E+00  0.000E+00  0.000E+00  2.240E-03  2.240E-03  1.741E-08  2.081E-10  2.132E-16  0.000E+00  0.000E+00  0.000E+00
    154.00      2.663E-03  0.000E+00  0.000E+00  0.000E+00  2.663E-03  2.663E-03  2.328E-08  2.882E-10  3.231E-16  0.000E+00  0.000E+00  0.000E+00
    155.00      3.158E-03  0.000E+00  0.000E+00  0.000E+00  3.158E-03  3.158E-03  3.105E-08  3.982E-10  4.885E-16  0.000E+00  0.000E+00  0.000E+00
    156.00      3.736E-03  0.000E+00  0.000E+00  0.000E+00  3.736E-03  3.736E-03  4.131E-08  5.489E-10  7.368E-16  0.000E+00  0.000E+00  0.000E+00
    157.00      4.410E-03  0.000E+00  0.000E+00  0.000E+00  4.410E-03  4.409E-03  5.482E-08  7.547E-10  1.108E-15  0.000E+00  0.000E+00  0.000E+00
    158.00      5.192E-03  0.000E+00  0.000E+00  0.000E+00  5.192E-03  5.191E-03  7.258E-08  1.035E-09  1.663E-15  0.000E+00  0.000E+00  0.000E+00
    159.00      6.098E-03  0.000E+00  0.000E+00  0.000E+00  6.098E-03  6.097E-03  9.586E-08  1.416E-09  2.490E-15  1.250E-20  0.000E+00  0.000E+00
    160.00      7.144E-03  0.000E+00  0.000E+00  0.000E+00  7.144E-03  7.144E-03  1.263E-07  1.933E-09  3.718E-15  4.538E-20  0.000E+00  0.000E+00
    161.00      8.351E-03  0.000E+00  0.000E+00  0.000E+00  8.351E-03  8.350E-03  1.660E-07  2.631E-09  5.538E-15  7.239E-20  0.000E+00  0.000E+00
    162.00      9.737E-03  0.000E+00  0.000E+00  0.000E+00  9.737E-03  9.737E-03  2.176E-07  3.573E-09  8.229E-15  1.152E-19  0.000E+00  0.000E+00
    163.00      1.133E-02  0.000E+00  0.000E+00  0.000E+00  1.133E-02  1.133E-02  2.847E-07  4.841E-09  1.220E-14  1.829E-19  0.000E+00  0.000E+00
    164.00      1.314E-02  0.000E+00  0.000E+00  0.000E+00  1.314E-02  1.314E-02  3.714E-07  6.542E-09  1.803E-14  2.896E-19  0.000E+00  0.000E+00
    165.00      1.521E-02  0.000E+00  0.000E+00  0.000E+00  1.521E-02  1.521E-02  4.835E-07  8.820E-09  2.660E-14  4.574E-19  0.000E+00  0.000E+00
    166.00      1.757E-02  0.000E+00  0.000E+00  0.000E+00  1.757E-02  1.757E-02  6.278E-07  1.186E-08  3.913E-14  7.206E-19  0.000E+00  0.000E+00
    167.00      2.024E-02  0.000E+00  0.000E+00  0.000E+00  2.024E-02  2.024E-02  8.132E-07  1.591E-08  5.742E-14  1.132E-18  0.000E+00  0.000E+00
    168.00      2.326E-02  0.000E+00  0.000E+00  0.000E+00  2.326E-02  2.326E-02  1.051E-06  2.129E-08  8.406E-14  1.789E-18  0.000E+00  0.000E+00
    169.00      2.667E-02  0.000E+00  0.000E+00  0.000E+00  2.667E-02  2.667E-02  1.355E-06  2.842E-08  1.228E-13  2.798E-18  0.000E+00  0.000E+00
    170.00      3.050E-02  0.000E+00  0.000E+00  0.000E+00  3.050E-02  3.050E-02  1.742E-06  3.785E-08  1.788E-13  4.365E-18  0.000E+00  0.000E+00
    171.00      3.480E-02  0.000E+00  0.000E+00  0.000E+00  3.480E-02  3.480E-02  2.235E-06  5.028E-08  2.599E-13  6.793E-18  0.000E+00  0.000E+00
    172.00      3.961E-02  0.000E+00  0.000E+00  0.000E+00  3.961E-02  3.961E-02  2.860E-06  6.663E-08  3.767E-13  1.055E-17  0.000E+00  0.000E+00
    173.00      4.498E-02  0.000E+00  0.000E+00  0.000E+00  4.498E-02  4.497E-02  3.651E-06  8.808E-08  5.446E-13  1.633E-17  0.000E+00  0.000E+00
    174.00      5.095E-02  0.000E+00  0.000E+00  0.000E+00  5.095E-02  5.095E-02  4.650E-06  1.161E-07  7.856E-13  2.522E-17  0.000E+00  0.000E+00
    175.00      5.758E-02  0.000E+00  0.000E+00  0.000E+00  5.758E-02  5.757E-02  5.908E-06  1.528E-07  1.130E-12  3.887E-17  0.000E+00  0.000E+00
    176.00      6.491E-02  0.000E+00  0.000E+00  0.000E+00  6.491E-02  6.490E-02  7.488E-06  2.005E-07  1.622E-12  5.973E-17  0.000E+00  0.000E+00
    177.00      7.300E-02  0.000E+00  0.000E+00  0.000E+00  7.300E-02  7.299E-02  9.467E-06  2.624E-07  2.323E-12  9.158E-17  0.000E+00  0.000E+00
    178.00      8.191E-02  0.000E+00  0.000E+00  0.000E+00  8.191E-02  8.189E-02  1.194E-05  3.426E-07  3.317E-12  1.401E-16  0.000E+00  0.000E+00
    179.00      9.168E-02  0.000E+00  0.000E+00  0.000E+00  9.168E-02  9.166E-02  1.503E-05  4.463E-07  4.726E-12  2.136E-16  0.000E+00  0.000E+00
    180.00      1.024E-01  0.000E+00  0.000E+00  0.000E+00  1.024E-01  1.023E-01  1.886E-05  5.799E-07  6.716E-12  3.251E-16  0.000E+00  0.000E+00
    181.00      1.140E-01  0.000E+00  0.000E+00  0.000E+00  1.140E-01  1.140E-01  2.362E-05  7.517E-07  9.520E-12  4.935E-16  0.000E+00  0.000E+00
    182.00      1.267E-01  0.000E+00  0.000E+00  0.000E+00  1.267E-01  1.267E-01  2.951E-05  9.719E-07  1.346E-11  7.472E-16  0.000E+00  0.000E+00
    183.00      1.405E-01  0.000E+00  0.000E+00  0.000E+00  1.405E-01  1.405E-01  3.678E-05  1.254E-06  1.899E-11  1.129E-15  0.000E+00  0.000E+00
    184.00      1.554E-01  0.000E+00  0.000E+00  0.000E+00  1.554E-01  1.553E-01  4.572E-05  1.613E-06  2.672E-11  1.700E-15  0.000E+00  0.000E+00
    185.00      1.715E-01  0.000E+00  0.000E+00  0.000E+00  1.715E-01  1.714E-01  5.671E-05  2.070E-06  3.751E-11  2.555E-15  0.000E+00  0.000E+00
    186.00      1.887E-01  0.000E+00  0.000E+00  0.000E+00  1.887E-01  1.887E-01  7.017E-05  2.651E-06  5.252E-11  3.830E-15  0.000E+00  0.000E+00
    187.00      2.073E-01  0.000E+00  0.000E+00  0.000E+00  2.073E-01  2.072E-01  8.661E-05  3.386E-06  7.336E-11  5.728E-15  0.000E+00  0.000E+00
    188.00      2.271E-01  0.000E+00  0.000E+00  0.000E+00  2.271E-01  2.270E-01  1.067E-04  4.314E-06  1.022E-10  8.543E-15  1.026E-20  0.000E+00
    189.00      2.482E-01  0.000E+00  0.000E+00  0.000E+00  2.482E-01  2.480E-01  1.310E-04  5.484E-06  1.421E-10  1.271E-14  1.661E-20  0.000E+00
    190.00      2.706E-01  0.000E+00  0.000E+00  0.000E+00  2.706E-01  2.704E-01  1.606E-04  6.953E-06  1.970E-10  1.887E-14  2.683E-20  0.000E+00
    191.00      2.944E-01  0.000E+00  0.000E+00  0.000E+00  2.944E-01  2.942E-01  1.963E-04  8.794E-06  2.724E-10  2.793E-14  4.323E-20  0.000E+00
    192.00      3.195E-01  0.000E+00  0.000E+00  0.000E+00  3.195E-01  3.192E-01  2.394E-04  1.110E-05  3.759E-10  4.125E-14  6.947E-20  0.000E+00
    193.00      3.459E-01  0.000E+00  0.000E+00  0.000E+00  3.459E-01  3.456E-01  2.913E-04  1.397E-05  5.173E-10  6.077E-14  1.114E-19  0.000E+00
    194.00      3.737E-01  0.000E+00  0.000E+00  0.000E+00  3.737E-01  3.733E-01  3.536E-04  1.754E-05  7.101E-10  8.930E-14  1.781E-19  0.000E+00
    195.00      4.027E-01  0.000E+00  0.000E+00  0.000E+00  4.027E-01  4.022E-01  4.282E-04  2.196E-05  9.725E-10  1.309E-13  2.840E-19  0.000E+00
