Table 1. The X-ray efficiency ([cm^2sec]^{-1}[keV/u]^{-1}) of outgoing photons as a function of initial ion energy including opacity effects from a single incident ion/cm^2/s with an isotropic downward distribution of pitch angles. The viewing angles of 0° and 90° are displayed for both atmosphere 1 and 2. The efficiencies shown here include X-ray production from both charge exchange and direct excitation collisions.

Atmosphere 1 (Original atmosphere)
    Energy                  0°                                 90°
    [keV/u]   O^{6+}  O^{7+}  S^{8+}  S^{9+}     O^{6+}  O^{7+}  S^{8+}  S^{9+}
    200       0.0141  0.0005  0.0023  0.0001	 0.0139  0.0005  0.0019  0.0001 
    300       0.1195  0.0106  0.0514  0.0085	 0.1165  0.0104  0.0365  0.0072 
    400       0.2008  0.0317  0.2093  0.0745	 0.1901  0.0309  0.1195  0.0563 
    500       0.2669  0.0735  0.3208  0.1882	 0.2358  0.0701  0.1327  0.1206 
    600       0.2884  0.1206  0.3020  0.2145	 0.2235  0.1107  0.0772  0.1022 
    700       0.2787  0.1578  0.2557  0.1924	 0.1760  0.1357  0.0370  0.0589 
    800       0.2573  0.1810  0.2169  0.1663	 0.1240  0.1409  0.0185  0.0300 
    900       0.2333  0.1911  0.1858  0.1443	 0.0827  0.1303  0.0106  0.0157 
    1000      0.2105  0.1918  0.1608  0.1265	 0.0551  0.1118  0.0069  0.0093 
    2000      0.0954  0.1244  0.0527  0.0474	 0.0029  0.0128  0.0009  0.0009 

Atmosphere 2 (Well-mixed atmosphere)
    Energy                  0°                                 90°
    [keV/u]   O^{6+}  O^{7+}  S^{8+}  S^{9+}     O^{6+}  O^{7+}  S^{8+}  S^{9+}
    200       0.0140  0.0005  0.0022  0.0001	 0.0134  0.0005  0.0015  0.0001 
    300       0.1192  0.0106  0.0507  0.0084	 0.1068  0.0100  0.0267  0.0057 
    400       0.2000  0.0317  0.2048  0.0736	 0.1643  0.0289  0.0799  0.0418 
    500       0.2653  0.0733  0.3113  0.1849	 0.1867  0.0633  0.0792  0.0817 
    600       0.2861  0.1201  0.2904  0.2093	 0.1606  0.0954  0.0397  0.0600 
    700       0.2761  0.1570  0.2441  0.1864	 0.1156  0.1111  0.0170  0.0297 
    800       0.2545  0.1799  0.2060  0.1602	 0.0756  0.1096  0.0084  0.0138 
    900       0.2307  0.1898  0.1760  0.1386	 0.0478  0.0967  0.0050  0.0072 
    1000      0.2080  0.1904  0.1521  0.1212	 0.0311  0.0802  0.0033  0.0044 
    2000      0.0942  0.1234  0.0498  0.0453	 0.0017  0.0087  0.0006  0.0006 
